FECHA_COMPRA,NOMBRE_TIENDA,CODIGO_VENTA,PRODUCTO_VENTA,CANTIDAD_UNITARIA_PRODUCTO,PRECIO_VENTA,COSTO_PRODUCTO,PAIS_PRODUCTO,IMPORTE_TOTAL,CANTIDAD_TOTAL_PRODUCTO,FORMA_PAGO,MARCA_PRODUCTO,UNIDAD_VENTA_PRODUCTO,TIENE_PROMO_PRODUCTO,NOMBRE_PROMO_PRODUCTO,TIPO_PROMO_PRODUCTO,NOMBRE_PROVEEDOR,PERIODO_PAGO_PROVEEDOR,ALCANCE_PROVEEDOR,SUBFAMILIA_PRODUCTO,FAMILIA_PRODUCTO,SECCION_PRODUCTO
2000-09-01,Barcelona,BA0000000,Mimolette,1,5.7250,3.93,Francia,66.6750,3,"Tarjeta Débito",Mimoferme,"Porción (250 g)",0,NULL,NULL,"Compagnie du Fromage",90,Global,"Vaca Semicurado",Vaca,Quesos
2000-09-01,Barcelona,BA1441795,Roquefort,1,9.5875,6.52,Francia,33.0875,2,"Tarjeta de Crédito",Delicatessen,"Porción (250 g)",0,NULL,NULL,"Compagnie du Fromage",90,Global,"Oveja Pasta veteada",Oveja,Quesos
2000-09-01,Barcelona,BA0852061,Roquefort,1,9.5875,6.52,Francia,24.6075,2,"Tarjeta Débito",Delicatessen,"Porción (250 g)",0,NULL,NULL,"Compagnie du Fromage",90,Global,"Oveja Pasta veteada",Oveja,Quesos
2000-09-01,Barcelona,BA1245262,Roquefort,1,9.5875,6.52,Francia,9.5875,1,"Tarjeta de Crédito",Delicatessen,"Porción (250 g)",0,NULL,NULL,"Compagnie du Fromage",90,Global,"Oveja Pasta veteada",Oveja,Quesos
2000-09-01,Barcelona,BA1703963,Gouda,2,4.0625,2.79,Holanda,8.1250,2,"Tarjeta Débito",Wenhlegod,"Porción (250 g)",0,NULL,NULL,"The Holland House",60,Global,"Vaca Semicurado",Vaca,Quesos
2000-09-01,Barcelona,BA0131105,Gouda,1,4.0625,2.79,Holanda,33.8775,3,"Tarjeta de Crédito",Wenhlegod,"Porción (250 g)",0,NULL,NULL,"The Holland House",60,Global,"Vaca Semicurado",Vaca,Quesos
2000-09-01,Barcelona,BA1900580,Gouda,1,4.0625,2.79,Holanda,10.2875,2,"Tarjeta Débito",Wenhlegod,"Porción (250 g)",0,NULL,NULL,"The Holland House",60,Global,"Vaca Semicurado",Vaca,Quesos
2000-09-01,Barcelona,BA2424833,Gouda,1,4.0625,2.79,Holanda,4.0625,1,Efectivo,Wenhlegod,"Porción (250 g)",0,NULL,NULL,"The Holland House",60,Global,"Vaca Semicurado",Vaca,Quesos
2000-09-01,Barcelona,BA3276850,Gouda,2,4.0625,2.79,Holanda,165.9750,11,Efectivo,Wenhlegod,"Porción (250 g)",0,NULL,NULL,"The Holland House",60,Global,"Vaca Semicurado",Vaca,Quesos
2000-09-01,Barcelona,BA3997757,Gouda,1,4.0625,2.79,Holanda,4.0625,1,"Tarjeta de Crédito",Wenhlegod,"Porción (250 g)",0,NULL,NULL,"The Holland House",60,Global,"Vaca Semicurado",Vaca,Quesos
2000-09-01,Barcelona,BA0524390,"Gorgonzola Dolce",1,6.2250,4.37,Italia,9.7250,2,"Tarjeta de Crédito",Fontana,"Porción (250 g)",0,NULL,NULL,"Cooperativa Agricola il Poggiolo",90,Global,"Vaca Curado",Vaca,Quesos
2000-09-01,Barcelona,BA1048647,"Mountain Gorgonzola",1,5.3000,3.78,Italia,5.3000,1,"Tarjeta de Crédito","Antico Mulardi","Porción (250 g)",0,NULL,NULL,"Cooperativa Agricola il Poggiolo",90,Global,"Vaca Curado",Vaca,Quesos
2000-09-01,Barcelona,BA1900562,"Parmigiano Reggiano",1,6.2250,4.15,Italia,6.2250,1,Efectivo,Reggiola,"Porción (250 g)",0,NULL,NULL,"Cooperativa Agricola il Poggiolo",90,Global,"Vaca Añejo",Vaca,Quesos
2000-09-01,Barcelona,BA2359324,Idiazabal,1,7.1875,5.07,España,7.1875,1,Efectivo,Istorki,"Porción (250 g)",0,NULL,NULL,"Cooperativa del Queso del Norte",60,Global,"Oveja Semicurado",Oveja,Quesos
2000-09-01,Barcelona,BA3670031,Manchego,1,3.7250,2.55,España,3.7250,1,"Tarjeta Débito","La Meseta Tierno","Porción (250 g)",0,NULL,NULL,"La Meseta, S.A.",60,Global,"Oveja Tierno",Oveja,Quesos
2000-09-01,Barcelona,BA1376305,Manchego,1,4.9750,3.51,España,36.7750,3,"Tarjeta de Crédito","La Meseta Semi","Porción (250 g)",0,NULL,NULL,"La Meseta, S.A.",60,Global,"Oveja Semicurado",Oveja,Quesos
2000-09-01,Barcelona,BA3145769,Manchego,1,4.9750,3.51,España,16.4250,2,Efectivo,"La Meseta Semi","Porción (250 g)",0,NULL,NULL,"La Meseta, S.A.",60,Global,"Oveja Semicurado",Oveja,Quesos
2000-09-01,Barcelona,BA1376267,"Queso de cabra",2,5.5000,3.90,España,18.5000,3,"Tarjeta Débito","Bellacabra Añejo","Porción (250 g)",0,NULL,NULL,"La Meseta, S.A.",60,Global,"Cabra Añejo",Cabra,Quesos
2000-09-01,Barcelona,BA0131153,"Queso de cabra",2,5.5000,3.90,España,28.2800,3,"Tarjeta de Crédito","Bellacabra Añejo","Porción (250 g)",0,NULL,NULL,"La Meseta, S.A.",60,Global,"Cabra Añejo",Cabra,Quesos
2000-09-01,Barcelona,BA0196719,"Queso de cabra",1,5.5000,3.90,España,18.2625,3,"Tarjeta Débito","Bellacabra Añejo","Porción (250 g)",0,NULL,NULL,"La Meseta, S.A.",60,Global,"Cabra Añejo",Cabra,Quesos
2000-09-01,Barcelona,BA0131106,Tetilla,1,7.4750,5.02,España,26.2850,3,"Tarjeta Débito","La Gallega","Porción (250 g)",0,NULL,NULL,"Cooperativa del Queso del Norte",60,Global,"Vaca Tierno",Vaca,Quesos
2000-09-01,Barcelona,BA1900580,"Goat's Irish Boile",1,6.2250,4.44,Irlanda,10.2875,2,"Tarjeta Débito","The Irish Goat","Porción (250 g)",0,NULL,NULL,"The Irish Cheese Company",60,Global,"Cabra Tierno",Cabra,Quesos
2000-09-01,Barcelona,BA3080222,Carquiñolis,1,5.4000,3.68,España,5.4000,1,Efectivo,"Antiga Masia",Caja,1,Carquiñolis-GranReserva,Cruzada,"Cooperativa de Repostería Tradicional",60,Global,"Pastas de almendra",Galletas,Postres
2000-09-01,Barcelona,BA0131106,Empiñonadas,1,3.7500,2.64,España,26.2850,3,"Tarjeta Débito","La Tradición",Caja,0,NULL,NULL,"Cooperativa de Repostería Tradicional",60,Global,"Dulces de Navidad",Pastelería,Postres
2000-09-01,Barcelona,BA1179688,"Almendras rellenas",1,4.7500,3.34,España,64.3125,3,"Tarjeta Débito","La Tradición",Caja,0,NULL,NULL,"Cooperativa de Repostería Tradicional",60,Global,"Dulces de Navidad",Pastelería,Postres
2000-09-01,Barcelona,BA0655423,Galettes,1,3.5000,2.43,Francia,10.7000,2,Efectivo,"La Mère Marie",Caja,0,NULL,NULL,"Heritiers La Mere Marie",60,Global,"Galletas de mantequilla",Galletas,Postres
2000-09-01,Barcelona,BA0589904,Galettes,1,3.5000,2.43,Francia,68.2450,4,"Tarjeta Débito","La Mère Marie",Caja,0,NULL,NULL,"Heritiers La Mere Marie",60,Global,"Galletas de mantequilla",Galletas,Postres
2000-09-01,Barcelona,BA0524390,Galettes,1,3.5000,2.43,Francia,9.7250,2,"Tarjeta de Crédito","La Mère Marie",Caja,0,NULL,NULL,"Heritiers La Mere Marie",60,Global,"Galletas de mantequilla",Galletas,Postres
2000-09-01,Barcelona,BA1179699,"Dark Chocolate Digestives",1,3.5000,2.47,"Reino Unido",42.9475,4,"Tarjeta de Crédito","Factory Chocolate",Caja,0,NULL,NULL,"The Biscuits Company",60,Global,"Galletas de chocolate",Galletas,Postres
2000-09-01,Barcelona,BA3276850,"Tinto Reserva 94",3,15.7400,8.24,España,165.9750,11,Efectivo,"Conde Duque Alvarez",Botella,0,NULL,NULL,"Bodegas Hermanos Alvarez",60,Global,"D.O. Rioja-Tinto","D.O. Rioja",Vinos
2000-09-01,Barcelona,BA1376305,"Tinto Reserva 95",1,22.9000,11.56,España,36.7750,3,"Tarjeta de Crédito","Conde Duque Alvarez",Botella,0,NULL,NULL,"Bodegas Hermanos Alvarez",60,Global,"D.O. Rioja-Tinto","D.O. Rioja",Vinos
2000-09-01,Barcelona,BA2490368,"Tinto Crianza 97",1,12.0200,7.02,España,23.1400,2,Efectivo,"Conde Duque Alvarez",Botella,0,NULL,NULL,"Bodegas Hermanos Alvarez",60,Global,"D.O. Rioja-Tinto","D.O. Rioja",Vinos
2000-09-01,Barcelona,BA1966084,"Tinto Gran Reserva 82",1,27.6300,14.58,España,27.6300,1,Efectivo,"Marqués de Albiñana",Botella,0,NULL,NULL,"Cooperativa del Alto Rioja",90,Global,"D.O. Rioja-Tinto","D.O. Rioja",Vinos
2000-09-01,Barcelona,BA0196640,"Tinto Gran Reserva 82",2,27.6300,14.58,España,78.7600,3,Efectivo,"Marqués de Albiñana",Botella,0,NULL,NULL,"Cooperativa del Alto Rioja",90,Global,"D.O. Rioja-Tinto","D.O. Rioja",Vinos
2000-09-01,Barcelona,BA0983077,"Tinto Gran Reserva 91",1,15.0200,7.86,España,20.5825,2,Efectivo,"Marqués de Albiñana",Botella,0,NULL,NULL,"Cooperativa del Alto Rioja",90,Global,"D.O. Rioja-Tinto","D.O. Rioja",Vinos
2000-09-01,Barcelona,BA3866642,"Tinto Gran Reserva 91",2,15.0200,7.86,España,30.0400,2,"Tarjeta de Crédito","Marqués de Albiñana",Botella,0,NULL,NULL,"Cooperativa del Alto Rioja",90,Global,"D.O. Rioja-Tinto","D.O. Rioja",Vinos
2000-09-01,Barcelona,BA0589904,"Tinto Gran Reserva 91",1,15.0200,7.86,España,68.2450,4,"Tarjeta Débito","Marqués de Albiñana",Botella,0,NULL,NULL,"Cooperativa del Alto Rioja",90,Global,"D.O. Rioja-Tinto","D.O. Rioja",Vinos
2000-09-01,Barcelona,BA0852061,"Tinto Gran Reserva 91",1,15.0200,7.86,España,24.6075,2,"Tarjeta Débito","Marqués de Albiñana",Botella,0,NULL,NULL,"Cooperativa del Alto Rioja",90,Global,"D.O. Rioja-Tinto","D.O. Rioja",Vinos
2000-09-01,Barcelona,BA0917506,"Tinto Gran Reserva 91",1,12.8700,6.76,España,12.8700,1,Efectivo,"Marqués de Albiñana",Botella,0,NULL,NULL,"Cooperativa del Alto Rioja",90,Global,"D.O. Rioja-Tinto","D.O. Rioja",Vinos
2000-09-01,Barcelona,BA1376305,"Tinto Reserva 95",1,8.9000,5.52,España,36.7750,3,"Tarjeta de Crédito","Hermanos Alvarez",Botella,0,NULL,NULL,"Cooperativa del Alto Rioja",90,Global,"D.O. Rioja-Tinto","D.O. Rioja",Vinos
2000-09-01,Barcelona,BA0589884,"Tinto Reserva 95",1,17.2800,8.89,España,26.0800,2,"Tarjeta Débito","Rodriguez del Duero",Botella,0,NULL,NULL,"Bodegas Herederos de Don Emilio",90,Global,"D.O. Rioja-Tinto","D.O. Rioja",Vinos
2000-09-01,Barcelona,BA1769530,"Tinto Reserva 95",1,17.2800,8.89,España,17.2800,1,"Tarjeta Débito","Rodriguez del Duero",Botella,0,NULL,NULL,"Bodegas Herederos de Don Emilio",90,Global,"D.O. Rioja-Tinto","D.O. Rioja",Vinos
2000-09-01,Barcelona,BA2490411,"Tinto Reserva 95",1,17.2800,8.89,España,26.5400,2,"Tarjeta Débito","Rodriguez del Duero",Botella,0,NULL,NULL,"Bodegas Herederos de Don Emilio",90,Global,"D.O. Rioja-Tinto","D.O. Rioja",Vinos
2000-09-01,Barcelona,BA3276850,"Tinto Reserva 95",2,17.2800,8.89,España,165.9750,11,Efectivo,"Rodriguez del Duero",Botella,0,NULL,NULL,"Bodegas Herederos de Don Emilio",90,Global,"D.O. Rioja-Tinto","D.O. Rioja",Vinos
2000-09-01,Barcelona,BA0131153,"Tinto Reserva 95",1,17.2800,8.89,España,28.2800,3,"Tarjeta de Crédito","Rodriguez del Duero",Botella,0,NULL,NULL,"Bodegas Herederos de Don Emilio",90,Global,"D.O. Rioja-Tinto","D.O. Rioja",Vinos
2000-09-01,Barcelona,BA0458843,"Tinto Reserva 95",1,17.2800,8.89,España,26.5400,2,Efectivo,"Rodriguez del Duero",Botella,0,NULL,NULL,"Bodegas Herederos de Don Emilio",90,Global,"D.O. Rioja-Tinto","D.O. Rioja",Vinos
2000-09-01,Barcelona,BA1441820,"Tinto Reserva 93",1,7.9900,4.18,España,7.9900,1,"Tarjeta de Crédito","Rodriguez del Duero",Botella,0,NULL,NULL,"Bodegas Herederos de Don Emilio",90,Global,"D.O. Rioja-Tinto","D.O. Rioja",Vinos
2000-09-01,Barcelona,BA0524300,"Tinto Reserva 94",1,9.0400,4.63,España,24.1800,3,"Tarjeta de Crédito","Ribera de Afluente",Botella,0,NULL,NULL,"Cooperativa del Alto Rioja",90,Global,"D.O. Rioja-Tinto","D.O. Rioja",Vinos
2000-09-01,Barcelona,BA1376269,"Tinto Reserva 94",1,12.6800,6.45,España,23.9300,2,"Tarjeta de Crédito","Señorío de San Gervasio",Botella,0,NULL,NULL,"Bodegas San Gervasio",30,Global,"D.O. Rioja-Tinto","D.O. Rioja",Vinos
2000-09-01,Barcelona,BA3276850,"Tinto Crianza 96",1,5.3700,2.69,España,165.9750,11,Efectivo,"Ribera de Afluente",Botella,0,NULL,NULL,"Cooperativa del Alto Rioja",90,Global,"D.O. Rioja-Tinto","D.O. Rioja",Vinos
2000-09-01,Barcelona,BA0524300,"Tinto Crianza 96",2,7.5700,4.02,España,24.1800,3,"Tarjeta de Crédito","El Señorío",Botella,0,NULL,NULL,"Bodegas San Gervasio",30,Global,"D.O. Rioja-Tinto","D.O. Rioja",Vinos
2000-09-01,Barcelona,BA2490368,"Tinto Reserva 94",1,11.1200,6.71,España,23.1400,2,Efectivo,"Bodegas de Aragón",Botella,0,NULL,NULL,"Compañía Vinícola, S.A.",30,Global,"D.O. Somontano-Tinto","D.O. Somontano",Vinos
2000-09-01,Barcelona,BA3801093,"Tinto Reserva 94",1,11.1200,6.71,España,43.7200,2,"Tarjeta de Crédito","Bodegas de Aragón",Botella,0,NULL,NULL,"Compañía Vinícola, S.A.",30,Global,"D.O. Somontano-Tinto","D.O. Somontano",Vinos
2000-09-01,Barcelona,BA3932208,"Tinto Reserva 94",1,11.1200,6.71,España,11.1200,1,Efectivo,"Bodegas de Aragón",Botella,0,NULL,NULL,"Compañía Vinícola, S.A.",30,Global,"D.O. Somontano-Tinto","D.O. Somontano",Vinos
2000-09-01,Barcelona,BA1376269,"Merlot 97",1,11.2500,6.93,"Estados Unidos",23.9300,2,"Tarjeta de Crédito","Golden Vineyards",Botella,0,NULL,NULL,"Golden Vineyards Company",30,Global,"D.O. Napa-Tinto","D.O. Napa",Vinos
2000-09-01,Barcelona,BA1245253,"Merlot 97",1,11.2500,6.93,"Estados Unidos",11.2500,1,"Tarjeta de Crédito","Golden Vineyards",Botella,0,NULL,NULL,"Golden Vineyards Company",30,Global,"D.O. Napa-Tinto","D.O. Napa",Vinos
2000-09-01,Barcelona,BA0000000,"Sangiovese 96",1,28.3500,16.77,"Estados Unidos",66.6750,3,"Tarjeta Débito","West Vineyards",Botella,0,NULL,NULL,"The Company of West Vineyards",30,Global,"D.O. Napa-Blanco","D.O. Napa",Vinos
2000-09-01,Barcelona,BA0589904,"Cabernet Sauvignon 97",1,43.5000,26.74,"Estados Unidos",68.2450,4,"Tarjeta Débito","Golden Valley",Botella,0,NULL,NULL,"West Cellars Company",30,Global,"D.O. Napa-Blanco","D.O. Napa",Vinos
2000-09-01,Barcelona,BA0131105,"Tinto Reserva 95/96",1,22.5400,13.14,España,33.8775,3,"Tarjeta de Crédito","Conde Duque Montaráz",Botella,0,NULL,NULL,"Bebidas Selección",90,Global,"D.O. Ribera del Duero-Tinto","D.O. Ribera del Duero",Vinos
2000-09-01,Barcelona,BA0065559,"Tinto Reserva 94",1,11.4500,6.24,España,11.4500,1,"Tarjeta Débito","Conde Duque Montaráz",Botella,0,NULL,NULL,"Bebidas Selección",90,Global,"D.O. Ribera del Duero-Tinto","D.O. Ribera del Duero",Vinos
2000-09-01,Barcelona,BA3145769,"Tinto Reserva 94",1,11.4500,6.24,España,16.4250,2,Efectivo,"Conde Duque Montaráz",Botella,0,NULL,NULL,"Bebidas Selección",90,Global,"D.O. Ribera del Duero-Tinto","D.O. Ribera del Duero",Vinos
2000-09-01,Barcelona,BA0327733,"Tinto Crianza 96",1,7.8700,4.23,España,7.8700,1,"Tarjeta Débito","Conde Duque Montaráz",Botella,0,NULL,NULL,"Bebidas Selección",90,Global,"D.O. Ribera del Duero-Tinto","D.O. Ribera del Duero",Vinos
2000-09-01,Barcelona,BA1179699,"Tinto Reserva 94",1,18.8000,9.67,España,42.9475,4,"Tarjeta de Crédito","Bodegas Hnos. Soldeoro",Botella,0,NULL,NULL,"Bebidas Selección",90,Global,"D.O. Ribera del Duero-Tinto","D.O. Ribera del Duero",Vinos
2000-09-01,Barcelona,BA3604487,"Tinto Reserva 94",1,17.1700,9.67,España,28.1700,2,Efectivo,"Bodegas Hnos. Soldeoro",Botella,0,NULL,NULL,"Bebidas Selección",90,Global,"D.O. Ribera del Duero-Tinto","D.O. Ribera del Duero",Vinos
2000-09-01,Barcelona,BA0655376,"Riesling Spätlese 98",1,13.4000,6.89,Alemania,13.4000,1,"Tarjeta de Crédito","Graf Von Schulck",Botella,0,NULL,NULL,"Kees Wineyards",30,Global,"D.O. Pfalz-Blanco","D.O. Pfalz",Vinos
2000-09-01,Barcelona,BA3604487,"Sauvignon Blanc 98",1,11.0000,5.99,Francia,28.1700,2,Efectivo,"Château Duc Versalle",Botella,0,NULL,NULL,"Domaine Bourdeaux",30,Global,"D.O. Bordeaux-Blanco","D.O. Bordeaux",Vinos
2000-09-01,Barcelona,BA1703962,"Bordeaux 97",1,29.9500,17.15,Francia,29.9500,1,Efectivo,"Monsieur Valentin",Botella,0,NULL,NULL,"Domaine Bourdeaux",30,Global,"D.O. Bordeaux-Tinto","D.O. Bordeaux",Vinos
2000-09-01,Barcelona,BA1048643,"Bordeaux 97",1,29.9500,17.15,Francia,29.9500,1,Efectivo,"Monsieur Valentin",Botella,0,NULL,NULL,"Domaine Bourdeaux",30,Global,"D.O. Bordeaux-Tinto","D.O. Bordeaux",Vinos
2000-09-01,Barcelona,BA3866626,"Bourgogne Rouge 97",2,9.2600,5.41,Francia,18.5200,2,"Tarjeta Débito","Château des Duc",Botella,0,NULL,NULL,"Domaine Bourgogne",30,Global,"D.O. Bourgogne-Tinto","D.O. Bourgogne",Vinos
2000-09-01,Barcelona,BA2490411,"Bourgogne Rouge 97",1,9.2600,5.41,Francia,26.5400,2,"Tarjeta Débito","Château des Duc",Botella,0,NULL,NULL,"Domaine Bourgogne",30,Global,"D.O. Bourgogne-Tinto","D.O. Bourgogne",Vinos
2000-09-01,Barcelona,BA0458843,"Bourgogne Rouge 97",1,9.2600,5.41,Francia,26.5400,2,Efectivo,"Château des Duc",Botella,0,NULL,NULL,"Domaine Bourgogne",30,Global,"D.O. Bourgogne-Tinto","D.O. Bourgogne",Vinos
2000-09-01,Barcelona,BA1507406,"Bourgogne Pinot Noir 98",2,8.9900,4.79,Francia,117.8800,4,"Tarjeta Débito","Château des Duc",Botella,0,NULL,NULL,"Domaine Bourgogne",30,Global,"D.O. Bourgogne-Tinto","D.O. Bourgogne",Vinos
2000-09-01,Barcelona,BA0589884,"Bourgogne Pinot Noir 97",1,8.8000,4.95,Francia,26.0800,2,"Tarjeta Débito","Château des Duc",Botella,0,NULL,NULL,"Domaine Bourgogne",30,Global,"D.O. Bourgogne-Tinto","D.O. Bourgogne",Vinos
2000-09-01,Barcelona,BA0131106,"Chablis Chardonnay 98",1,15.0600,8.02,Francia,26.2850,3,"Tarjeta Débito","Château Haut-Rosee",Botella,0,NULL,NULL,"Domaine Bourgogne",30,Global,"D.O. Bourgogne-Rosado","D.O. Bourgogne",Vinos
2000-09-01,Barcelona,BA1179699,"Chablis Chardonnay 98",1,15.0600,8.02,Francia,42.9475,4,"Tarjeta de Crédito","Château Haut-Rosee",Botella,0,NULL,NULL,"Domaine Bourgogne",30,Global,"D.O. Bourgogne-Rosado","D.O. Bourgogne",Vinos
2000-09-01,Barcelona,BA3276850,"Brut Réserve",1,35.0000,18.93,Francia,165.9750,11,Efectivo,"Château d'Or",Botella,0,NULL,NULL,"Chateau d'Or",90,Global,"D.O. Champagne-Brut","D.O. Champagne",Espumosos
2000-09-01,Barcelona,BA1179688,Ultra-Brut,1,54.0000,33.20,Francia,64.3125,3,"Tarjeta Débito","Château d'Or",Botella,0,NULL,NULL,"Chateau d'Or",90,Global,"D.O. Champagne-Brut","D.O. Champagne",Espumosos
2000-09-01,Barcelona,BA0393247,"Brut Chardonnay",1,79.9500,41.79,Francia,79.9500,1,Efectivo,"Château d'Or",Botella,0,NULL,NULL,"Chateau d'Or",90,Global,"D.O. Champagne-Brut","D.O. Champagne",Espumosos
2000-09-01,Barcelona,BA1900573,"Cabernet Sauvignon-Shiraz 98",1,19.9500,12.46,Australia,19.9500,1,Efectivo,"Francis Jr.Cellars",Botella,0,NULL,NULL,"Francis Jr. Cellars",30,Global,"D.O. Coonawarra-Tinto","D.O. Coonawarra",Vinos
2000-09-01,Barcelona,BA2818084,"Cabernet Sauvignon 99",1,9.9500,4.99,Chile,9.9500,1,"Tarjeta de Crédito","Casa Julia Montemar",Botella,0,NULL,NULL,"Compañía del Valle Montemar",15,Global,Mendoza-Blanco,Mendoza,Vinos
2000-09-01,Barcelona,BA1507406,"Cru Beaujolais 98",2,49.9500,28.38,Francia,117.8800,4,"Tarjeta Débito","Saint Honoré","Botella (1.5 l)",0,NULL,NULL,"Societe Viticole",90,Global,"D.O. Beaujolais-Tinto","D.O. Beaujolais",Vinos
2000-09-01,Barcelona,BA1376267,Moscatel,1,7.5000,3.87,España,18.5000,3,"Tarjeta Débito","Casa Saez",Botella,0,NULL,NULL,"Cia. De Licores, S.A.",30,Global,Licores,Licores,Licores
2000-09-01,Barcelona,BA0065552,"Scotch Whiskey 10 años",1,23.5000,13.49,"Reino Unido",23.5000,1,Efectivo,Glendale,Botella,0,NULL,NULL,"English Long Drink Company",90,Global,Whisky,Licores,Licores
2000-09-01,Barcelona,BA1441795,"Scotch Whiskey 10 años",1,23.5000,13.49,"Reino Unido",33.0875,2,"Tarjeta de Crédito",Glendale,Botella,0,NULL,NULL,"English Long Drink Company",90,Global,Whisky,Licores,Licores
2000-09-01,Barcelona,BA0196640,"Scotch Whiskey 10 años",1,23.5000,13.49,"Reino Unido",78.7600,3,Efectivo,Glendale,Botella,0,NULL,NULL,"English Long Drink Company",90,Global,Whisky,Licores,Licores
2000-09-01,Barcelona,BA0655454,"Scotch Whiskey 10 años",1,23.5000,13.49,"Reino Unido",23.5000,1,"Tarjeta de Crédito",Glendale,Botella,0,NULL,NULL,"English Long Drink Company",90,Global,Whisky,Licores,Licores
2000-09-01,Barcelona,BA3801093,"Scotch Whiskey 18 años",1,32.6000,18.06,"Reino Unido",43.7200,2,"Tarjeta de Crédito",Glendale,Botella,0,NULL,NULL,"English Long Drink Company",90,Global,Whisky,Licores,Licores
2000-09-01,Barcelona,BA2490430,"Scotch Whiskey 18 años",1,32.6000,18.06,"Reino Unido",32.6000,1,"Tarjeta de Crédito",Glendale,Botella,0,NULL,NULL,"English Long Drink Company",90,Global,Whisky,Licores,Licores
2000-09-01,Barcelona,BA3276850,"Scotch Whiskey 18 años",1,32.6000,18.06,"Reino Unido",165.9750,11,Efectivo,Glendale,Botella,0,NULL,NULL,"English Long Drink Company",90,Global,Whisky,Licores,Licores
2000-09-01,Barcelona,BA0000000,"Scotch Whiskey 18 años",1,32.6000,18.06,"Reino Unido",66.6750,3,"Tarjeta Débito",Glendale,Botella,0,NULL,NULL,"English Long Drink Company",90,Global,Whisky,Licores,Licores
2000-09-01,Barcelona,BA0655423,"Brut Reserva",1,7.2000,4.07,España,10.7000,2,Efectivo,"Bodegas Ferrer",Botella,0,NULL,NULL,"Bodegas Ferrer",30,Global,"D.O. Cava-Brut","D.O. Cava",Espumosos
2000-09-01,Barcelona,BA0196719,"Brut Reserva",1,7.2000,4.07,España,18.2625,3,"Tarjeta Débito","Bodegas Ferrer",Botella,0,NULL,NULL,"Bodegas Ferrer",30,Global,"D.O. Cava-Brut","D.O. Cava",Espumosos
